45839 45669 59963 121773 145166
togeth 6 2 8 27 10
though 10 10 12 7 14
subcommitte 6 22 10 15 0
shell 36 0 0 3 14
remark 6 4 37 3 3
preliminari 6 9 3 22 13
matur 1 1 41 7 3
launch 7 4 9 22 11
iv 0 6 0 47 0
greec 41 12 0 0 0
everi 6 7 4 18 18
csr 7 0 0 46 0
chanc 7 10 24 8 4
assum 8 3 3 22 17
along 13 13 4 16 7
withdraw 9 0 1 33 9
white 25 9 4 14 0
tanker 51 0 0 0 1
repay 13 4 8 17 10
particularli 9 11 6 10 16
oblig 6 4 6 19 17
moscow 3 47 0 1 1
matter 5 13 12 19 3
herrington 52 0 0 0 0
grade 42 8 0 1 1
distil 43 0 0 8 1
cpc 0 0 0 45 7
video 0 0 0 37 14
telecom 0 0 0 37 14
subordin 0 0 0 34 17
strategi 6 0 6 26 13
strateg 21 1 0 18 11
spring 10 34 1 4 2
significantli 4 6 9 8 24
side 12 4 14 15 6
sheet 0 0 6 9 36
serv 2 5 8 32 4
remov 7 3 14 19 8
pension 0 1 5 7 38
morgan 2 0 8 19 22
dri 2 43 4 0 2
doubl 4 5 7 11 24
deni 11 6 11 18 5
cannot 9 6 20 13 3
brazilian 10 5 5 3 28
alli 6 0 7 31 7
adopt 6 4 15 13 13
thing 2 8 12 23 5
spot 36 5 9 0 0
richard 3 24 3 14 6
qtrli 0 0 0 0 50
occur 7 6 19 9 9
monthli 9 9 7 2 23
legisl 10 26 8 3 3
know 10 8 7 20 5
introduc 5 18 10 7 10
integr 1 3 5 32 9
feedgrain 0 50 0 0 0
exxon 43 0 0 5 2
dart 0 0 0 50 0
yr 0 0 0 0 49
wholli 1 0 0 41 7
tool 7 4 0 36 2
ton 14 22 0 10 3
stimul 7 3 38 0 1
stand 5 9 19 12 4
spain 4 21 15 8 1
round 18 5 23 0 3
river 11 16 0 18 4
newli 1 0 7 36 5
mile 26 1 0 6 16
join 4 4 17 21 3
johnson 1 6 17 18 7
freight 0 26 1 17 5
comdata 0 0 0 49 0
big 4 7 15 10 13
appeal 7 7 3 28 4
api 49 0 0 0 0
writeoff 0 0 4 1 43
wait 9 14 8 15 2
storag 14 23 0 9 2
shortterm 4 0 28 9 7
seem 3 5 29 10 1
resort 2 1 4 40 1
recov 12 5 7 8 16
prove 24 5 9 7 3
ohio 2 2 0 34 10
neg 4 9 14 1 20
lehman 4 1 7 34 2
known 6 10 4 22 6
incent 29 7 4 5 3
icahn 1 0 0 47 0
hour 6 6 21 14 1
halt 17 7 9 9 6
favour 10 8 17 11 2
fact 8 6 14 10 10
doubt 0 2 21 12 13
compet 1 7 2 33 5
sun 10 0 0 21 16
role 10 3 17 13 4
refus 12 5 16 13 1
qualifi 8 1 0 4 34
petrobra 47 0 0 0 0
object 4 8 17 13 5
investig 2 2 0 28 15
hurt 7 11 10 4 15
ground 7 7 9 19 5
formal 2 6 9 25 5
enabl 2 6 4 20 15
decreas 11 13 4 3 16
david 2 4 8 21 12
basic 3 10 13 6 15
whole 11 9 9 9 8
warn 19 5 15 5 2
satisfactori 0 0 6 15 25
premium 1 8 0 20 17
owner 2 1 0 34 9
licens 6 2 5 28 5
justic 3 3 0 38 2
ecu 0 37 9 0 0
drought 0 46 0 0 0
drain 1 1 42 0 2
access 3 11 3 23 6
violat 7 3 0 28 7
via 1 6 31 3 4
technic 8 3 17 9 8
swedish 7 0 1 30 7
stage 5 12 8 8 12
retir 1 4 0 14 26
respond 6 4 10 18 7
reform 7 7 13 6 12
realiz 1 2 1 10 31
partial 5 5 1 13 21
organis 11 5 8 16 5
marin 12 0 3 20 10
job 10 2 14 7 12
hk 0 0 2 20 23
extens 11 7 1 22 4
brought 10 8 13 7 7
avoid 15 7 10 11 2
arbitrag 0 0 2 41 2
yeutter 0 13 29 2 0
turkey 36 6 2 0 0
shift 3 10 22 3 6
reorgan 3 6 0 12 23
regard 4 5 13 20 2
ferruzzi 0 0 0 44 0
entertain 0 0 1 28 15
deputi 17 13 9 3 2
depress 8 9 8 4 15
aviat 1 0 0 34 9
abil 10 3 3 13 15
tuesday 9 6 16 9 3
switch 5 24 3 8 3
suffer 8 10 6 4 15
specialti 0 0 0 25 18
southwest 5 3 0 25 10
saw 10 4 8 7 14
regist 4 7 1 11 20
portion 3 2 1 25 12
mutual 0 1 2 33 7
lynch 0 2 6 32 3
locat 5 2 2 27 7
lo 0 2 0 37 4
kansa 3 19 0 18 3
k 1 1 0 18 23
instrument 0 1 15 17 10
illinoi 1 13 0 16 13
especi 1 6 21 5 10
entitl 4 2 1 24 12
cotton 0 37 0 6 0
bell 0 1 0 22 20
aerospac 0 0 1 34 8
ten 2 12 2 14 12
submit 4 9 2 20 7
softwar 0 0 0 23 19
smith 7 1 9 10 15
renew 11 7 17 6 1
renault 0 0 0 39 3
peso 0 0 6 27 9
permit 5 8 3 21 5
paul 3 1 13 23 2
opinion 1 2 7 5 27
lot 5 9 11 9 8
individu 6 7 4 15 10
gaf 0 0 0 41 1
fair 0 5 1 31 5
except 5 4 4 10 19
elimin 4 7 5 8 18
defici 0 38 0 3 1
cross 5 1 5 28 3
circul 0 2 26 13 1
award 7 24 0 2 9
atlant 5 0 0 20 17
wednesday 6 4 18 10 3
steadi 5 9 23 1 3
spokeswoman 8 3 3 23 4
seriou 5 11 8 12 5
satisfi 4 3 14 16 4
receipt 3 0 1 27 10
provinc 4 34 2 0 1
pesch 0 0 0 41 0
moder 4 8 22 3 4
houston 8 1 0 17 15
gmt 6 4 15 11 5
elabor 8 1 9 14 9
defer 1 0 0 9 31
conduct 5 4 14 7 11
citicorp 0 0 0 33 8
calcul 6 12 6 4 13
behind 4 2 23 2 10
bankruptci 8 0 0 16 17
aircraft 6 0 0 18 17
advantag 6 8 5 12 10
wide 1 4 20 7 8
war 22 4 7 7 0
volcker 0 0 40 0 0
vessel 18 13 0 9 0
texaco 40 0 0 0 0
speak 9 7 14 4 6
santo 22 0 0 14 4
riyal 13 0 18 0 9
redeem 2 3 1 19 15
ratio 0 8 7 6 19
portfolio 0 0 10 10 20
philippin 0 2 4 31 3
opposit 10 5 12 12 1
nuclear 2 2 1 12 23
norstar 0 0 0 40 0
nomin 2 0 5 11 22
merril 0 2 6 28 4
maximum 8 17 2 10 3
licenc 8 28 3 0 1
italian 3 3 10 22 2
implement 9 12 11 2 6
hear 6 8 1 21 4
harri 3 0 6 26 5
feel 7 6 16 8 3
cours 7 5 9 16 3
conclud 4 6 5 23 2
break 9 8 8 4 11
bankamerica 0 0 2 21 17
angel 0 0 0 36 4
underli 3 0 30 4 2
uncertainti 6 4 9 5 15
tradit 8 3 12 4 12
tell 3 8 9 17 2
summer 8 18 0 8 5
stateown 9 2 0 20 8
singapor 4 0 7 14 14
reynold 0 0 1 28 10
resolv 7 3 9 14 6
resist 12 6 10 11 0
parliament 9 3 21 6 0
overnight 0 9 23 7 0
mexico 25 7 1 3 3
match 4 1 8 22 4
larger 9 3 7 12 8
index 7 4 26 0 2
fujitsu 0 0 0 39 0
foster 3 0 36 0 0
forward 5 5 17 4 8
flat 2 1 8 1 27
fire 14 7 0 10 8
ef 1 2 0 36 0
dynam 0 0 0 22 17
devalu 4 1 34 0 0
degre 14 18 2 3 2
concentr 0 3 3 20 13
bidder 4 0 6 29 0
appreci 1 0 24 4 10
aegean 39 0 0 0 0
turkish 30 0 8 0 0
thursday 5 7 16 8 2
threaten 15 7 10 6 0
supplier 12 7 0 15 4
singl 3 8 10 10 7
shortli 0 4 11 18 5
sent 9 6 2 18 3
repeat 6 3 17 7 5
reopen 9 10 2 13 4
railroad 2 2 0 31 3
pursu 3 1 6 24 4
primarili 4 6 0 8 20
oecd 16 16 6 0 0
mid 12 8 4 8 6
merchant 2 8 3 19 6
korea 3 11 23 0 1
hostil 2 0 0 32 4
exchequ 3 1 34 0 0
done 2 9 13 9 5
document 1 2 4 26 5
core 1 0 5 20 12
compon 0 0 0 22 16
compens 9 10 1 6 12
chain 0 0 1 26 11
bbl 38 0 0 0 0
appar 8 3 12 14 1
wendi 0 0 0 34 3
valley 2 1 0 21 13
trump 0 0 0 31 6
subsid 1 34 1 1 0
speech 11 3 11 6 6
smaller 12 4 8 10 3
siemen 0 0 0 33 4
resum 12 3 6 4 12
redston 0 0 0 37 0
narrow 2 5 26 2 2
michael 3 3 3 15 13
martin 0 0 3 22 12
interst 0 0 0 26 11
imperi 9 0 0 10 18
evalu 6 2 1 26 2
earthquak 35 0 0 0 2
cumul 2 8 1 14 12
circumst 4 2 8 14 9
benefici 1 1 4 26 5
actual 7 13 7 5 5
went 6 3 2 3 22
upon 2 2 4 21 7
traffic 2 8 0 11 15
thought 5 8 16 6 1
stay 7 4 11 8 6
sought 3 4 6 19 4
size 3 5 7 15 6
signup 0 36 0 0 0
relief 20 6 3 4 3
rank 1 2 2 20 11
promis 7 7 14 8 0
plastic 3 0 0 23 10
peak 10 1 16 3 6
onc 5 4 7 14 6
militari 18 0 3 9 6
louisiana 14 8 0 7 7
leverag 0 0 0 34 2
lake 2 8 1 12 13
instal 14 0 1 12 9
huge 12 3 12 7 2
global 3 5 10 9 9
eastern 8 11 2 13 2
diversifi 3 0 1 18 14
difficulti 10 3 8 7 8
debit 0 0 0 0 36
conrac 0 0 0 36 0
charter 1 4 0 19 12
challeng 3 3 1 23 6
cancel 14 5 0 8 9
calif 1 0 0 33 2
bad 3 6 5 4 18
alloc 7 2 18 4 5
aggress 3 1 16 5 11
whose 6 1 5 16 7
univers 3 0 2 25 5
threat 14 8 5 2 6
spanish 1 22 4 5 3
shamrock 14 0 0 13 8
sentiment 6 2 26 1 0
segment 2 0 0 6 27
percentag 2 5 12 10 6
optimist 11 3 2 2 17
missil 33 0 0 2 0
laboratori 0 0 0 9 26
jacob 0 0 0 29 6
honeywel 0 0 0 25 10
dlrsbbl 35 0 0 0 0
divest 0 0 0 30 5
distributor 0 0 0 21 14
directli 3 4 9 14 5
diamond 15 0 0 11 9
destin 5 26 0 3 1
bear 0 3 7 12 13
advisor 0 0 1 29 5
zealand 0 7 2 21 4
weekend 7 6 12 7 2
wagner 0 0 0 27 7
stress 3 9 13 4 5
strength 2 0 13 7 12
stood 1 3 16 1 13
statu 11 3 6 9 5
sach 1 0 0 29 4
rival 1 0 1 31 1
pump 20 1 0 12 1
privatelyheld 1 0 0 32 1
poor 1 15 3 2 13
mt 1 8 0 24 1
medium 4 4 8 5 13
mart 0 0 0 12 22
kingdom 16 0 3 7 8
jersey 2 1 0 27 4
headquart 5 0 0 25 4
greek 33 1 0 0 0
f 0 12 0 11 11
duti 0 19 0 10 5
dot 0 1 0 33 0
differenti 13 14 7 0 0
curb 14 3 13 4 0
creditor 5 0 5 17 7
convers 1 2 2 16 13
cathay 0 0 0 0 34
calendar 2 12 3 2 15
bulk 3 17 4 5 5
boliden 0 0 0 28 6
argentin 4 29 0 0 1
adequ 0 15 9 6 4
visit 10 9 9 4 1
und 0 14 0 9 10
tie 2 2 9 14 6
stronger 4 1 15 4 9
salomon 4 0 3 18 8
royalti 9 0 1 7 16
rig 32 0 0 0 1
resign 0 0 0 24 9
repair 29 1 0 3 0
readi 10 5 7 9 2
previouslyannounc 0 0 0 28 5
philip 1 0 4 15 13
pass 1 15 8 5 4
nazer 33 0 0 0 0
million 4 5 4 5 15
michigan 1 1 0 21 10
inject 5 0 21 4 3
hongkong 0 0 0 7 26
hill 5 2 0 15 11
hike 4 0 1 4 24
hanson 0 0 0 33 0
gradual 5 8 13 1 6
extrem 2 2 24 1 4
explain 5 2 10 10 6
entiti 2 4 2 22 3
enrol 0 33 0 0 0
engag 3 4 4 20 2
dismiss 0 0 4 25 4
deutsch 0 0 6 12 15
coastal 6 2 1 23 1
carl 1 0 0 31 1
assur 3 4 1 17 8
advers 1 5 8 5 14
zone 16 1 15 0 0
sweden 6 0 0 24 2
surpris 2 1 12 14 3
shultz 0 31 0 1 0
schlumberg 5 0 0 27 0
rexnord 0 0 0 31 1
republ 0 4 0 22 6
rainbow 0 0 0 32 0
radio 8 1 0 21 2
practic 3 7 6 11 5
ounc 0 0 2 23 7
mm 0 30 0 0 2
miguel 0 2 0 30 0
highli 3 4 7 17 1
goal 5 5 13 3 6
event 2 4 8 15 3
eia 32 0 0 0 0
egypt 8 21 3 0 0
draw 17 4 6 2 3
crisi 16 2 11 0 3
coordin 6 2 23 1 0
consult 6 5 4 15 2
complex 10 3 3 9 7
baird 2 0 0 30 0
argentina 1 29 0 1 1
afg 0 0 0 30 2
acceler 3 1 10 11 7
wholesal 2 1 2 14 12
wage 3 4 19 3 2
upward 3 7 17 1 3
temperatur 0 30 0 1 0
tariff 12 10 9 0 0
slip 7 1 15 3 5
repli 9 4 8 8 2
qualiti 5 14 2 4 6
particular 2 4 12 3 10
noth 5 7 5 11 3
nonperform 2 0 0 1 28
method 4 1 4 2 20
mannesmann 0 0 0 23 8
klm 0 0 0 31 0
intermedi 20 6 0 1 4
interim 0 0 6 5 20
insid 1 1 3 22 4
imbal 0 2 27 1 1
happen 5 3 6 12 5
flour 0 29 0 2 0
floor 2 21 7 1 0
elev 0 27 1 3 0
drug 0 0 0 19 12
downward 4 4 17 1 5
defenc 14 1 1 11 4
critic 8 6 6 9 2
cold 0 29 0 1 1
charl 4 8 0 16 3
carrier 5 3 0 17 6
cargo 13 13 0 3 2
brand 0 0 0 17 14
biggest 10 2 2 8 9
auditor 2 0 0 2 27
att 0 0 0 3 28
amstutz 0 31 0 0 0
alleg 1 2 0 21 7
advertis 0 0 0 21 10
whollyown 0 0 0 25 5
w 3 2 0 20 5
throughout 3 7 3 8 9
southeast 10 9 1 7 3
signal 4 2 21 2 1
scale 7 5 4 10 4
risen 4 5 14 0 7
realti 0 0 0 8 22
realli 1 4 13 9 3
rainfal 0 30 0 0 0
pharmaceut 0 0 0 13 17
peabodi 0 0 0 22 8
northwest 5 7 0 12 6
ltu 0 0 0 29 1
kuwaiti 27 0 3 0 0
jardin 0 0 0 1 29
introduct 0 4 8 3 15
influenc 3 3 12 7 5
idea 4 8 11 7 0
guin 0 0 0 23 7
gelco 0 0 0 23 7
disappoint 1 5 6 14 4
consortium 7 0 1 18 4
client 4 0 5 14 7
cgct 0 0 0 30 0
centr 1 1 10 7 11
bil 0 0 0 30 0
backlog 0 0 0 2 28
away 4 4 10 6 6
arm 5 6 2 12 5
algeria 10 19 1 0 0
wireless 0 0 2 26 1
van 1 5 0 6 17
troubl 8 3 4 8 6
strongli 6 5 7 3 8
silver 2 1 2 16 8
rep 1 25 0 3 0
reiter 10 0 3 9 7
recapit 0 0 0 7 22
portland 0 17 0 9 3
pioneer 3 0 2 23 1
outright 1 0 28 0 0
optim 14 2 4 3 6
norway 24 0 0 3 2
litig 0 0 0 18 11
labor 4 1 4 7 13
la 4 10 0 12 3
invit 2 2 19 4 2
incur 1 0 2 8 18
general 0 0 0 19 10
ford 0 0 0 4 25
flexibl 2 0 11 5 11
extent 5 4 6 8 6
examin 4 6 1 14 4
eventu 10 1 5 9 4
describ 2 2 6 17 2
deregul 9 1 6 4 9
delta 1 1 0 26 1
debat 4 11 11 3 0
conting 1 0 0 19 9
competitor 0 2 2 16 9
columbia 0 0 0 5 24
cbt 0 29 0 0 0
bhp 0 0 0 13 16
basin 17 2 0 5 5
bahrain 6 0 23 0 0
aftertax 0 0 0 7 22
usual 1 14 7 1 5
unusu 3 8 3 1 13
unsolicit 0 0 0 28 0
undervalu 0 0 21 5 2
ual 0 0 0 19 9
travel 2 4 5 13 4
sweeten 0 16 0 12 0
succeed 6 0 7 10 5
slide 5 2 18 1 2
rebat 0 27 0 0 1
qatar 19 0 9 0 0
postpon 8 3 3 13 1
old 9 2 5 4 8
never 9 3 6 4 6
modest 5 3 9 2 9
media 2 2 0 11 13
manhattan 0 0 3 21 4
malaysia 9 4 5 6 4
lucki 1 1 0 19 7
lambert 0 1 0 17 10
kiichi 0 0 28 0 0
iraqi 28 0 0 0 0
indiana 2 9 0 5 12
impos 9 10 6 2 1
harcourt 0 0 0 27 1
glickman 0 28 0 0 0
extern 2 1 21 1 3
exampl 6 10 5 4 3
est 0 5 3 17 3
bull 0 0 1 12 15
broad 3 3 11 6 5
balli 0 0 0 16 12
appoint 8 1 1 17 1
african 3 7 0 16 2
weaken 1 0 16 1 9
truck 1 1 0 10 15
thu 3 2 14 5 3
suspens 8 1 5 0 13
suffici 2 2 5 10 8
strait 21 0 0 3 3
ralli 19 1 6 0 1
prompt 3 8 6 5 5
princevil 0 0 0 26 1
poehl 0 0 27 0 0
play 7 1 11 6 2
onetim 0 2 0 3 22
nov 0 0 0 3 24
nigeria 16 4 7 0 0
na 0 1 2 8 16
mulford 0 0 27 0 0
mainten 9 1 0 12 5
lose 4 6 8 3 6
live 4 8 10 3 2
kind 10 1 6 9 1
jump 4 4 4 4 11
imf 0 0 27 0 0
highest 8 7 4 3 5
henley 0 0 0 19 8
heller 0 0 18 9 0
georg 3 11 1 9 3
fob 0 26 1 0 0
florida 1 1 0 17 8
elig 0 25 0 2 0
donald 2 0 0 20 5
district 1 4 2 17 3
diagnost 0 0 0 21 6
decre 4 0 2 21 0
champion 0 0 0 25 2
asian 6 2 9 9 1
asia 3 4 4 5 11
arriv 14 11 1 1 0
aggreg 1 0 2 20 4
tran 0 0 0 25 1
tight 6 4 14 0 2
therefor 3 5 5 6 7
subsequ 3 5 4 9 5
spent 7 1 3 10 5
smc 0 0 0 26 0
shop 1 0 1 13 11
shoe 0 0 0 18 8
room 2 5 14 5 0
reed 1 0 0 25 0
recess 9 1 10 4 2
quickli 2 3 8 8 5
promot 4 9 8 1 4
plaza 0 0 22 3 1
placement 1 0 2 16 7
panel 1 12 4 8 1
outlin 2 7 5 9 3
ltgi 0 0 0 23 3
ltc 1 0 0 20 5
levi 5 18 1 2 0
lawsuit 1 0 0 19 6
intl 0 0 0 15 11
handl 1 14 0 9 2
focu 0 3 7 12 4
drexel 0 2 0 17 7
disast 1 22 1 0 2
deliv 7 12 0 7 0
chancellor 3 0 23 0 0
bullish 14 3 7 0 2
beyond 2 0 4 11 9
baldrig 0 0 6 20 0
assumpt 4 2 4 13 3
assess 3 8 7 5 3
alon 2 1 16 4 3
alliedlyon 0 0 0 12 14
abroad 3 1 12 3 7
zero 3 14 5 3 0
wti 25 0 0 0 0
varieti 0 8 1 13 3
unknown 0 22 1 0 2
unilev 0 0 0 2 23
underwrit 0 3 1 12 9
uncertain 1 6 6 4 8
trigger 4 2 11 8 0
tighten 4 5 15 0 1
surg 1 3 17 0 4
stanley 2 0 2 11 10
specifi 0 2 6 15 2
spa 5 0 0 17 3
soar 4 2 9 6 4
shortfal 9 1 13 0 2
scienc 0 1 0 11 13
revlon 0 0 0 17 8
red 1 14 1 1 8
rapid 1 2 13 5 4
rand 0 0 9 1 15
presplit 0 0 0 1 24
pizza 0 0 1 23 1
oilfield 16 0 0 8 1
oat 0 18 0 6 1
oak 0 0 0 14 11
norcro 0 0 0 25 0
nonrecur 0 0 0 1 24
nakason 0 0 23 2 0
lowest 4 12 5 2 2
let 6 3 9 4 3
lack 9 6 4 3 3
kodak 0 0 0 18 7
jordan 5 6 6 1 7
interior 10 12 0 1 2
inspect 2 21 0 1 1
got 2 5 3 8 7
gm 0 0 0 1 24
film 0 0 0 13 12
failur 7 0 6 8 4
ensur 5 4 6 5 5
drive 1 3 8 8 5
discoveri 16 0 0 5 4
disclosur 2 1 4 17 1
diplomat 10 3 6 3 3
deadlin 0 3 4 16 2
complaint 1 7 1 15 1
commonwealth 0 0 0 19 6
cenergi 0 0 0 22 3
behalf 2 0 9 14 0
bay 7 0 0 13 5
argu 2 7 8 7 1
anyth 6 2 13 1 3
write 1 2 0 4 17
watch 1 2 17 3 1
swire 0 0 0 0 24
stoltenberg 1 0 22 1 0
stem 3 2 10 5 4
star 0 0 0 22 2
spread 3 6 8 6 1
scott 0 0 1 9 14
scientif 0 0 0 11 13
rospatch 0 0 0 22 2
remaind 2 2 1 12 7
rebound 3 0 15 0 6
railway 1 1 2 17 3
quit 3 3 10 5 3
pti 1 2 0 16 5
proxi 0 0 0 19 5
precis 0 3 7 8 6
pictur 1 0 7 11 5
nova 11 0 0 10 3
meant 4 5 7 2 6
ltcyl 0 0 0 24 0
lender 0 0 1 10 13
lbo 0 0 0 24 0
king 12 0 0 7 5
jointli 1 1 6 16 0
interbank 1 0 22 0 1
industrialis 3 3 18 0 0
inadequ 1 4 1 17 1
grown 0 13 5 4 2
goe 5 2 11 5 1
gcc 10 0 14 0 0
gao 0 24 0 0 0
formerli 2 0 2 10 10
fit 4 0 3 17 0
exposur 0 0 7 3 14
default 2 0 2 4 16
count 16 0 2 6 0
copper 0 1 0 6 17
consent 1 0 0 23 0
congression 3 19 2 0 0
concert 1 0 17 6 0
colombia 17 7 0 0 0
club 0 0 4 10 10
clearli 2 2 14 3 3
clayton 0 5 7 12 0
circuit 0 1 0 14 9
bit 2 1 8 8 5
belgian 0 0 10 11 3
battl 4 2 2 15 1
awar 3 1 5 13 2
auto 0 0 2 17 5
attend 7 1 12 2 2
amus 0 0 0 23 1
alway 2 6 5 5 6
alaska 14 0 0 9 1
address 7 4 6 2 5
accumul 0 1 1 14 8
worri 0 5 14 2 2
wish 8 1 6 7 1
whi 3 2 7 10 1
weve 8 6 3 3 3
tmoc 0 0 0 23 0
tenneco 8 0 0 14 1
sustain 5 1 7 2 8
sum 0 1 1 18 3
someth 1 3 9 7 3
reaffirm 4 0 8 6 5
pledg 4 3 10 5 1
peter 4 3 3 8 5
peru 1 7 11 4 0
park 0 0 1 16 6
ontario 0 6 0 17 0
nj 0 0 0 19 4
newmont 0 0 1 9 13
myer 0 5 0 16 2
moment 7 1 9 5 1
midwest 0 11 0 8 4
metropolitan 0 0 0 21 2
liberalis 3 6 13 0 1
inquiri 1 7 2 8 5
indonesian 14 3 3 1 2
hedg 3 1 14 0 5
forese 6 0 4 3 10
faster 2 3 11 3 4
exclus 4 0 1 14 4
escort 23 0 0 0 0
epac 0 23 0 0 0
environment 4 0 0 13 6
edelman 0 0 0 23 0
e 2 1 0 12 8
du 1 0 3 12 7
doesnt 5 2 2 10 4
divestitur 0 0 0 19 4
daniel 5 13 0 1 4
dalla 0 0 0 18 5
dairi 0 8 0 4 11
comparison 3 7 0 0 13
climb 4 0 3 8 8
chines 3 11 4 1 4
chapter 2 0 0 6 15
burnham 0 2 0 14 7
bueno 0 23 0 0 0
bancshar 0 0 0 14 9
automot 0 0 0 7 16
audiovideo 0 0 0 23 0
attent 3 4 10 3 3
apr 4 13 4 0 2
affair 2 2 11 3 5
yearearli 0 1 0 0 21
wick 0 0 0 15 7
weinberg 10 0 0 12 0
warship 22 0 0 0 0
usx 17 0 0 5 0
usag 2 18 0 2 0
unsuccess 2 0 1 18 1
twothird 9 5 1 5 2
thousand 13 4 0 4 1
taxfre 0 0 0 3 19
surplus 0 9 13 0 0
subroto 22 0 0 0 0
spinoff 0 0 0 13 9
socal 3 5 7 5 2
snow 0 18 3 0 1
sgl 0 0 0 22 0
sen 3 17 2 0 0
schill 0 0 0 0 22
revalu 0 0 14 3 5
relianc 17 0 2 2 1
registr 5 5 0 7 5
redempt 0 6 0 5 11
plain 7 7 0 6 2
pik 0 22 0 0 0
picken 8 0 2 11 1
philadelphia 2 0 6 13 1
petrocanada 18 0 0 4 0
oppenheim 0 0 0 17 5
oklahoma 7 8 0 6 1
norwegian 17 0 1 4 0
miller 6 7 0 4 5
midland 0 5 4 6 7
microwav 0 0 0 15 7
meter 20 0 0 2 0
matheson 0 0 0 0 22
km 21 0 0 0 1
iea 22 0 0 0 0
heat 9 3 0 5 5
goodyear 2 0 0 18 2
georgia 3 0 0 4 15
friendli 2 3 0 17 0
franklin 0 0 0 3 19
flood 0 19 2 1 0
flag 8 2 2 9 1
finish 6 2 8 3 3
fine 2 0 2 12 6
fast 0 0 6 9 7
fallen 7 1 10 0 4
environ 4 1 1 9 7
emir 16 0 6 0 0
desir 5 2 6 7 2
deplet 20 0 0 0 2
delawar 1 0 0 16 5
coupl 7 3 6 3 3
colorado 2 1 0 11 8
chase 0 0 7 14 1
cargil 0 22 0 0 0
burden 4 2 9 0 7
bottom 7 3 3 1 8
bodi 2 2 3 9 6
bancroft 0 1 0 21 0
awb 0 22 0 0 0
audit 1 0 0 1 20
allischalm 0 0 0 22 0
wont 3 6 6 5 1
wilson 3 5 4 7 2
welcom 4 1 10 3 3
walter 3 0 2 10 6
utilicorp 0 0 0 4 17
unspecifi 5 1 3 9 3
toronto 1 0 1 15 4
themselv 3 1 9 7 1
tent 2 2 1 14 2
sweet 19 1 0 0 1
sure 6 4 2 4 5
stick 10 6 1 2 2
spark 4 13 1 2 1
slump 7 1 4 2 7
simpli 2 3 10 5 1
settl 8 1 2 8 2
serious 1 9 6 5 0
rubber 2 6 1 10 2
roll 0 7 6 0 8
rental 1 6 0 4 10
raw 1 3 0 3 14
quaker 0 0 0 11 10
privatis 0 0 0 18 3
pratt 0 0 0 20 1
poll 2 0 11 2 6
perhap 1 4 13 1 2
par 2 0 1 4 14
ortner 0 0 21 0 0
ore 2 0 0 18 1
omit 0 0 0 1 20
nz 0 2 2 15 2
mthli 0 0 0 0 21
minstar 0 0 0 20 1
midnight 0 0 0 21 0
machineri 1 1 2 11 6
lukman 21 0 0 0 0
lloyd 5 1 1 3 11
kidder 0 0 0 14 7
jone 0 0 0 18 3
ic 0 0 0 21 0
hospit 0 0 0 13 8
holdenbrown 0 0 0 7 14
hernandez 21 0 0 0 0
golden 2 0 2 15 2
gate 0 0 0 20 1
fulfil 1 5 5 8 2
franchis 1 0 0 16 4
foot 1 0 1 15 4
focus 0 1 6 7 7
explos 12 4 2 1 2
exempt 6 11 1 2 1
excel 0 4 2 2 13
durum 0 21 0 0 0
dudley 0 0 0 21 0
domin 3 5 4 7 2
coars 0 21 0 0 0
card 0 1 2 11 7
brief 7 0 4 6 4
brace 0 1 1 18 1
belgium 1 7 7 6 0
becam 2 3 2 7 7
answer 3 3 8 4 3
aluminium 0 0 0 2 19
widespread 3 6 11 0 0
weight 1 3 13 1 2
watanab 0 0 0 20 0
utah 4 0 0 15 1
unavail 1 2 3 7 7
threemonth 2 1 14 3 0
thoma 1 1 6 10 2
tension 10 0 7 3 0
symbion 0 0 0 20 0
switzerland 2 2 5 9 2
sunflow 0 18 0 2 0
strain 3 5 9 2 1
spur 13 0 5 2 0
shown 8 2 3 3 4
seed 0 10 0 9 1
seat 0 0 0 14 6
seamen 20 0 0 0 0
seali 0 0 0 15 5
scheme 5 9 0 4 2
saturday 5 2 12 1 0
sand 7 0 0 2 11
restrain 5 1 2 11 1
restor 9 3 5 2 1
reluct 7 4 9 0 0
reli 6 5 6 1 2
reaction 3 2 10 3 2
react 2 0 12 4 2
programm 3 0 8 2 7
presidenti 7 0 1 10 2
plung 8 0 8 0 4
pl 0 20 0 0 0
ongo 1 1 1 5 12
oilse 0 20 0 0 0
notic 1 0 1 12 6
netherland 0 8 6 4 2
nationwid 3 3 1 4 9
monopoli 3 7 1 9 0
moistur 0 20 0 0 0
memori 0 2 0 15 3
magazin 0 0 1 17 2
maekawa 0 0 20 0 0
lttwa 0 0 0 20 0
lindner 0 0 0 20 0
lessen 9 3 3 4 1
leighpemberton 0 0 10 10 0
lee 2 0 0 11 7
latin 10 0 1 1 8
iwc 0 20 0 0 0
indirect 1 0 10 7 2
ii 2 2 3 6 7
icc 0 0 0 20 0
hoechst 1 0 0 2 17
histor 1 3 10 4 2
heinz 0 0 0 2 18
heavili 4 2 6 5 3
fiveyear 3 4 0 8 5
fabric 1 0 0 10 9
experi 2 0 3 9 6
ever 4 3 4 3 6
effici 3 6 2 5 4
dow 0 0 0 10 10
delhi 2 0 0 18 0
cheaper 3 5 8 2 2
cert 0 20 0 0 0
cement 1 0 0 12 7
