359 428 535 1617 2848
elimin 4 7 5 8 18
elisra 0 0 0 0 1
elit 0 0 1 0 0
elizabeth 0 0 0 4 0
elk 2 0 0 1 0
elka 0 0 0 0 1
elkhorn 0 0 0 2 0
elkin 0 0 0 0 1
elliott 0 0 0 1 0
ellmann 0 0 0 4 0
elmano 1 0 0 0 0
elmer 0 1 0 0 0
elmo 0 2 0 0 0
els 0 3 3 8 1
elsay 0 0 0 2 0
elsewher 8 5 1 2 0
elsinor 0 0 0 0 3
elstein 0 0 0 1 0
eluvi 0 0 0 1 0
elxsi 0 0 0 0 1
elyria 0 0 0 1 0
em 0 0 56 2 0
embargo 3 1 0 0 0
embark 1 1 0 0 1
embarrass 0 1 0 0 0
embassi 4 7 0 2 0
embezzl 0 0 0 0 2
embroil 0 0 0 2 0
emcf 0 0 2 0 0
emerald 0 0 0 0 3
emerg 25 18 9 20 6
emeri 0 0 0 55 0
emerson 0 0 0 2 3
emerypurol 0 0 0 1 0
emhart 0 0 0 0 6
emigr 1 0 0 0 0
emir 16 0 6 0 0
emiss 1 0 0 0 0
emp 1 0 0 0 0
emphas 2 0 0 3 3
emphasi 3 1 2 4 4
emphasis 0 0 1 0 2
empi 0 0 0 0 1
empir 0 0 0 2 3
employ 6 7 27 33 8
employe 5 2 1 45 17
empow 0 0 0 2 0
empresa 1 2 0 1 0
empti 0 5 0 0 1
emss 0 0 2 0 0
emsstyl 0 0 1 0 0
emul 0 0 0 0 1
en 0 0 0 0 1
enabl 2 6 4 20 15
enact 1 2 1 1 0
enbl 0 0 0 1 0
encompass 0 0 4 0 0
encor 0 0 0 17 2
encount 0 0 1 0 0
encourag 15 16 21 5 15
end 87 68 80 173 574
endaka 0 0 4 0 0
endang 1 1 2 0 0
endapril 0 1 0 1 0
enddec 0 0 0 0 1
enddecemb 0 0 2 0 2
endeavor 0 0 0 1 0
endeavour 0 0 0 0 2
endfebruari 0 0 3 1 1
endinvest 0 0 0 0 1
endinvestor 1 0 0 0 0
endjanuari 1 0 0 1 4
endjun 0 1 1 0 0
endmonth 0 1 1 0 0
endoctob 0 0 0 0 1
endof 0 1 0 0 0
endoffiscalyear 0 0 1 0 0
endofseason 0 1 0 0 0
endofwint 0 0 1 0 0
endors 2 3 6 0 0
endotron 0 0 0 0 17
endow 0 0 0 2 0
endseptemb 0 0 1 3 0
endtoend 0 0 0 1 0
endur 0 1 0 0 0
endus 2 1 0 0 2
endyear 0 0 1 0 0
enemi 1 0 0 0 0
enercon 0 0 0 2 0
energen 0 0 0 3 0
energi 210 2 1 58 65
energia 1 0 0 0 0
energybas 0 0 0 0 1
energycalifornia 1 0 0 0 0
energydril 1 0 0 0 0
energyforeign 1 0 0 0 0
energyltvlo 0 0 0 1 0
energysecur 1 0 0 0 0
energysteel 1 0 0 0 0
energyu 1 0 0 0 0
enetrpris 0 0 0 0 1
enex 0 0 0 0 1
enfield 0 0 0 3 0
enforc 0 0 1 13 2
engag 3 4 4 20 2
engelhard 0 0 0 0 4
engend 0 0 1 0 0
engin 4 1 4 40 52
engineeringltcsp 0 0 0 0 1
engineroom 0 1 0 0 0
england 0 1 140 16 9
englebright 0 1 0 0 0
englewood 0 0 0 1 0
english 0 9 3 0 1
englishlanguag 1 0 0 1 1
enhanc 7 48 3 12 10
eni 1 0 0 0 0
enjoin 1 0 0 10 0
enjoy 2 0 4 1 1
enka 0 0 0 1 1
enlarg 0 0 1 6 3
enliven 0 0 1 0 0
enorm 0 0 1 1 0
enough 7 15 30 14 9
enourm 0 0 1 0 0
enquir 0 0 1 0 0
enquiri 1 1 2 1 0
enrich 0 0 0 1 0
enriqu 0 0 0 1 0
enro 0 0 0 10 0
enroateas 0 0 0 1 0
enrol 0 33 0 0 0
enron 0 0 0 0 3
enseco 0 0 0 0 1
enserch 0 0 0 0 1
ensourc 0 0 0 0 1
ensur 5 4 6 5 5
ent 1 0 0 0 0
entail 1 0 0 2 0
entangl 0 0 0 1 0
enter 10 7 22 66 9
enterpris 4 1 5 42 36
enterra 0 0 0 2 1
entertain 0 0 1 28 15
entex 0 0 0 0 2
enthusiasm 0 2 0 0 0
enthusiast 1 0 1 1 0
entir 6 9 4 26 14
entireti 0 0 0 1 1
entiti 2 4 2 22 3
entitl 4 2 1 24 12
entr 0 4 0 0 0
entranc 3 0 0 0 0
entrant 0 0 0 3 1
entrepo 0 0 0 2 0
entrepreneur 0 0 0 1 0
entrepreu 0 0 0 1 0
entri 0 2 2 5 1
enviro 0 0 0 1 0
envirodyn 0 0 0 0 1
environ 4 1 1 9 7
environment 4 0 0 13 6
enviropact 0 0 0 2 0
envirosur 0 0 0 0 1
envirosystem 0 0 0 4 0
envis 0 0 2 1 0
envisag 0 2 6 1 0
envoy 2 0 1 0 0
enzo 0 0 0 0 1
enzon 0 0 0 7 0
enzym 0 0 0 1 1
eonomist 0 0 1 0 0
epac 0 23 0 0 0
epicentr 1 0 0 0 0
epitop 0 0 0 0 1
epsilon 0 0 0 2 0
epxertis 0 0 0 1 0
eqk 0 0 0 0 3
equadorian 0 0 0 0 1
equal 3 12 6 23 37
equalis 0 0 0 0 1
equat 0 0 2 0 0
equatori 0 0 0 0 14
equicor 0 0 0 0 3
equilibrium 0 1 4 0 0
equimp 0 0 0 1 0
equin 0 0 0 3 0
equinox 0 0 0 3 0
equion 0 0 0 0 1
equip 8 0 4 88 27
equipmentsystem 0 0 0 0 1
equit 0 2 0 6 5
equiti 9 4 8 89 65
equiticorp 0 0 0 1 0
equitori 0 0 0 0 2
equityaccount 0 0 0 0 2
equival 16 7 10 17 11
equivil 0 0 0 1 0
er 0 1 0 1 0
era 0 0 4 0 0
erad 0 0 0 1 0
eralp 2 0 0 0 0
eras 0 0 0 1 0
erba 0 0 0 1 0
erbamont 0 0 0 2 0
erc 0 0 0 4 0
erdem 1 0 0 0 0
erect 1 0 0 2 0
erekson 0 0 0 1 0
ergenc 4 0 0 0 0
eri 0 1 0 0 1
eric 0 0 0 1 0
erickson 0 0 0 0 2
ericsson 0 0 0 6 0
eridania 0 0 0 2 0
erik 0 0 0 4 0
ernest 1 0 0 3 0
ernesto 0 1 0 0 0
ernst 0 0 0 1 1
erod 0 4 0 0 2
erodobl 0 1 0 0 0
eromanga 0 0 0 3 0
eros 0 1 2 0 4
error 0 0 0 0 1
erupt 4 0 0 1 0
es 2 1 0 0 0
esca 0 0 0 2 0
escal 5 1 0 0 1
escap 0 0 0 1 0
eschborn 0 0 0 2 0
escondida 0 0 0 1 0
escort 23 0 0 0 0
escrow 0 0 0 4 3
eskey 0 0 0 5 0
eskimo 2 0 0 0 0
espana 0 0 0 1 0
espanola 0 0 0 0 1
especi 1 6 21 5 10
espinosa 9 0 0 0 0
esquir 0 0 0 0 1
esselt 0 0 0 6 2
essenti 0 4 4 3 4
essex 0 0 0 0 3
essilor 0 0 0 0 1
esso 6 0 0 9 3
essprx 0 0 0 1 0
est 0 5 3 17 3
establish 2 10 26 25 11
estat 2 1 3 51 59
estaterel 0 0 0 1 1
esther 0 0 0 1 0
estim 79 153 84 57 129
estmat 0 0 0 0 1
estremadoyro 0 0 0 1 0
esystem 0 0 0 0 2
et 2 0 0 5 1
etc 0 0 0 0 1
ethanol 0 5 0 1 2
ethiopia 0 6 1 0 0
ethyl 0 0 0 4 0
ethylen 0 0 0 3 0
eugen 1 1 0 0 1
euphoria 0 0 0 1 0
euqival 0 1 0 0 0
eura 0 0 0 1 0
eurasbank 0 0 0 1 0
euroarab 1 0 0 0 0
eurobond 0 0 4 1 0
eurocapit 0 0 0 1 0
eurodollar 1 0 8 0 0
euromark 0 0 2 0 0
euromarket 0 0 0 1 0
euromoney 0 0 1 0 0
euronot 0 0 1 0 0
europ 19 9 35 15 22
europa 0 0 0 0 1
european 15 58 89 55 13
europeiska 0 0 0 1 0
europharmaceut 0 0 0 4 0
europoort 0 2 0 0 0
evalu 6 2 1 26 2
evan 9 0 0 6 0
evanston 0 0 0 1 0
evansvil 0 1 0 0 0
evapor 0 0 2 1 0
eve 0 0 1 0 0
even 20 23 42 29 19
event 2 4 8 15 3
eventu 10 1 5 9 4
ever 4 3 4 3 6
everest 0 0 0 0 1
evergo 0 0 0 12 0
evergrow 0 0 1 0 0
everi 6 7 4 18 18
everli 0 0 0 0 1
everth 0 1 0 0 0
everybodi 0 0 1 1 0
everyon 2 1 2 2 0
everyth 1 0 3 0 0
everywher 1 0 0 0 1
evid 1 3 6 3 3
evidenc 0 0 1 0 0
evil 0 1 0 0 0
evnsvll 0 1 0 0 0
evolut 1 0 1 0 0
evolv 0 1 0 1 1
evro 1 0 0 0 0
ew 0 0 0 1 0
ewart 0 0 0 0 1
exacerb 1 0 0 0 0
exact 1 3 1 5 7
exactli 1 0 3 2 1
exagger 0 0 1 0 0
examin 4 6 1 14 4
exampl 6 10 5 4 3
excahng 0 0 0 2 0
excav 0 0 0 2 0
excchang 0 0 1 0 0
exce 0 0 0 3 1
exceed 12 8 10 16 38
excel 0 4 2 2 13
excello 0 0 0 1 0
except 5 4 4 10 19
excess 6 12 25 22 14
exchairman 0 0 0 1 0
exchang 29 56 491 317 105
exchanger 0 0 1 0 0
exchangerel 0 0 1 0 0
exchangetrad 0 0 2 0 0
exchequ 3 1 34 0 0
excis 4 4 0 0 0
excit 1 1 0 2 2
exclud 7 7 4 15 360
exclus 4 0 1 14 4
exco 0 0 0 4 0
exdividend 0 0 0 1 0
execut 13 11 13 130 62
executiv 0 0 0 1 0
exemplifi 0 1 0 1 0
exempt 6 11 1 2 1
exercis 4 0 2 56 18
exert 1 3 0 0 0
exf 0 0 1 0 0
exhaust 0 0 0 0 1
exhcnmag 0 0 0 1 0
exhibit 0 0 2 2 1
exid 0 0 0 1 0
exisit 1 0 0 0 0
exist 20 13 10 41 31
exit 0 0 0 1 1
exlcud 0 0 0 0 1
exley 0 0 0 0 3
exovir 0 0 0 8 0
expand 6 25 14 46 28
expans 5 7 9 26 31
expansionari 0 0 1 0 0
expansionist 1 0 0 0 0
expartn 1 0 0 0 0
expatri 1 1 1 0 0
expecetd 0 0 0 0 1
expect 111 112 227 266 541
expectd 0 0 0 0 1
expedit 0 1 0 3 0
expediti 0 0 0 3 1
expeditur 0 0 1 0 0
expenditur 26 4 5 0 22
expens 4 5 7 38 103
expensis 0 0 0 1 0
experi 2 0 3 9 6
experienc 3 4 2 1 3
expert 1 1 3 4 0
expertis 1 0 0 6 0
expier 0 0 0 1 0
expir 2 9 11 91 6
expiri 0 0 1 0 0
explain 5 2 10 10 6
explan 1 0 0 4 0
explicit 0 0 1 0 0
explicitli 1 1 0 0 0
explod 0 3 0 0 0
exploit 5 0 0 1 3
explor 145 1 3 53 18
exploratori 15 0 0 3 0
explos 12 4 2 1 2
expo 0 0 0 0 1
expolor 1 0 0 0 0
export 159 442 105 10 27
exportdriven 0 0 1 0 0
exportimport 2 0 3 0 0
exportl 0 0 0 0 1
expos 0 3 0 0 0
exposur 0 0 7 3 14
express 4 5 5 120 12
exsit 0 0 0 1 0
extend 13 21 11 96 12
extens 11 7 1 22 4
extensif 0 1 0 0 0
extent 5 4 6 8 6
extern 2 1 21 1 3
extinguish 0 0 0 1 7
extinquish 0 0 0 0 2
extra 1 3 3 3 6
extract 6 0 1 2 0
extran 0 0 1 0 0
extraodinari 0 0 0 0 2
extraordaini 0 0 0 0 1
extraordainri 0 0 0 0 1
extraordinari 2 0 0 10 252
extraordinarili 0 0 0 1 0
extraordinrari 1 0 0 0 0
extrem 2 2 24 1 4
extric 1 0 0 0 0
exwest 0 0 2 0 0
exxon 43 0 0 5 2
eye 0 1 1 0 3
eysken 0 0 12 0 0
eyton 0 0 0 0 2
ezzedin 0 0 1 0 0
f 0 12 0 11 11
fa 0 3 0 4 0
fabric 1 0 0 10 9
fabricent 0 0 0 0 1
fabriqu 0 0 0 0 1
face 21 14 22 12 27
facil 17 12 27 43 26
facilit 0 0 0 5 2
faciliti 0 0 0 1 0
facilti 0 0 1 0 0
facsimil 0 0 0 1 0
fact 8 6 14 10 10
factor 10 10 54 21 36
factori 0 7 1 5 1
factual 0 1 0 0 1
fade 0 1 1 0 0
fadhil 1 0 0 0 0
fahd 10 0 0 0 0
fahrenheit 0 2 0 0 0
fail 6 10 14 31 7
failur 7 0 6 8 4
fair 0 5 1 31 5
fairchild 1 0 0 54 4
fairchildfujitsu 0 0 0 1 0
fairey 0 0 0 0 1
fairfax 0 0 0 1 8
fairfield 0 0 0 2 1
fairli 1 1 12 3 0
fairmount 0 0 0 0 1
faith 0 1 0 6 0
falcon 0 0 0 0 4
falconbridg 0 0 0 1 0
falkirk 0 0 0 0 1
fall 55 66 148 8 93
fallen 7 1 10 0 4
falloff 0 0 0 0 3
fallow 0 2 0 0 0
falmouth 0 0 0 1 0
fals 1 0 2 4 3
falter 1 1 1 0 0
famili 0 7 1 45 6
familiar 0 1 0 2 4
famin 0 1 0 0 0
famou 0 0 0 0 1
fan 0 1 0 0 0
fantasi 0 0 0 0 1
fantast 0 0 1 0 0
fao 0 3 0 0 0
far 29 17 64 24 21
farah 0 0 0 0 7
faraway 0 0 0 5 0
fare 1 0 0 1 0
farflung 0 0 0 1 0
fargo 0 0 0 7 3
farm 2 172 0 9 7
farmbelt 0 0 0 0 1
farmer 5 180 0 5 2
farmerown 0 4 0 0 0
farmitalia 0 0 0 1 0
farmland 0 14 0 3 0
farmlevel 0 1 0 0 0
farmout 1 0 0 0 0
farmrel 0 1 0 0 0
farmstat 0 1 0 0 0
farmstor 0 1 0 0 0
farrington 0 0 0 0 1
farrmer 0 1 0 0 0
farther 0 0 0 1 0
farwest 0 0 0 0 1
fasb 0 0 0 0 2
fashion 0 0 0 3 1
fast 0 0 6 9 7
faster 2 3 11 3 4
fastest 0 0 0 1 0
fastgrow 0 0 0 2 0
fastmov 0 0 1 0 0
fat 0 1 0 3 0
fata 0 0 0 0 1
fate 0 0 0 3 0
father 0 0 3 3 0
fauber 0 0 0 0 3
fault 1 1 3 0 0
faulter 0 0 0 0 1
faulti 0 1 0 0 0
favor 8 15 2 20 11
favorit 2 0 0 0 0
favour 10 8 17 11 2
favourit 0 0 2 0 0
favroabl 0 0 0 0 1
fbx 0 0 0 0 1
fc 0 0 0 10 0
fcc 0 0 0 8 3
fci 0 2 0 0 0
fcl 0 0 0 4 0
fda 0 0 0 5 0
fdic 0 0 0 2 10
fe 0 13 0 51 4
fear 7 10 26 7 4
feasibl 3 0 0 4 1
featur 1 7 2 2 1
feb 7 12 4 32 197
febaruari 0 0 0 0 1
febr 6 0 0 0 0
febrauri 0 0 0 0 1
februari 114 59 113 52 100
februarymarch 2 0 0 0 0
fec 0 0 6 0 0
fed 1 1 208 8 0
feder 30 24 123 180 84
federallyassist 0 0 0 1 0
federalmogul 0 0 0 0 1
fee 37 0 1 23 7
feebas 0 0 0 0 1
feed 0 72 0 5 2
feeder 0 0 0 2 0
feedgrain 0 50 0 0 0
feedstock 1 0 0 2 1
feel 7 6 16 8 3
feet 43 1 0 7 3
fefac 0 2 0 0 0
feilo 0 0 1 0 0
feinberg 0 0 0 2 0
feisti 0 0 0 1 0
feket 0 0 7 0 0
fell 72 26 62 14 97
fellow 4 0 0 0 2
feloni 0 0 0 0 1
felt 0 3 4 4 6
fen 0 0 0 1 0
fenc 1 0 0 0 0
fend 0 0 0 5 1
fengb 0 1 0 0 0
fengbang 0 1 0 0 0
fenner 0 0 0 1 0
fentress 0 0 0 0 1
ferc 0 0 0 0 3
ferdinand 0 0 0 5 0
fereidun 1 0 0 0 0
feretti 0 0 0 3 0
fermenta 0 0 0 8 0
fernald 0 0 0 1 0
fernand 0 0 1 0 0
fernando 11 0 0 1 0
ferrado 0 0 0 1 0
ferranti 0 0 0 1 0
ferri 0 0 0 2 4
ferro 0 0 0 4 0
ferroalloy 1 0 0 0 0
ferrominera 0 0 0 0 1
ferrosan 0 0 0 0 1
ferrosilicon 0 0 0 2 0
ferrotherm 0 0 0 0 1
ferruzzi 0 0 0 44 0
ferruzzicpc 0 0 0 1 0
fertil 0 3 0 1 1
fertilis 2 5 0 0 1
fesharaki 5 0 0 0 0
festiv 0 0 3 0 0
fetch 1 0 0 4 0
fever 0 0 1 1 0
few 15 12 20 17 12
fewer 1 0 2 1 3
ffb 0 0 0 0 2
fh 0 0 0 1 0
fhlbb 0 0 0 10 0
fhlmc 0 0 0 0 3
fiat 0 0 0 0 1
fiber 0 2 0 0 10
fiberboard 0 0 0 1 0
fibergla 0 0 0 5 0
fiberglass 0 0 0 1 0
fiberopt 0 0 0 3 0
fibr 0 0 0 4 3
fibrinolyt 0 0 0 1 0
fibron 0 0 0 0 1
fichtel 0 0 0 10 1
fiction 0 1 0 0 0
fidel 0 0 0 16 2
fidelcor 0 0 0 4 0
fidelilti 0 0 0 1 0
fiduciari 0 0 0 9 2
field 106 29 3 15 14
fieldcrest 0 0 0 0 1
fieldwork 0 4 0 0 0
fierc 0 0 1 0 0
fifo 0 0 0 0 1
fifth 4 0 0 2 3
fifthlargest 0 0 0 1 0
figarella 0 0 0 0 2
fight 2 6 0 9 1
fighter 1 0 0 0 0
figueiredo 0 0 2 0 0
figuera 0 1 0 0 0
figur 41 81 43 9 141
filament 0 0 0 0 1
file 1 7 0 219 42
filipino 0 0 0 2 0
fill 11 1 0 1 4
fillrat 1 0 0 0 0
film 0 0 0 13 12
filmpartn 0 0 0 2 0
filter 0 0 0 5 1
filtertek 0 0 0 0 1
fin 0 0 0 0 6
fina 1 0 0 0 0
final 17 28 15 49 95
finalco 0 0 0 1 0
finalis 0 0 0 2 1
finan 0 0 0 0 1
financ 20 9 124 173 65
financi 18 13 81 267 206
financialltfamr 0 0 0 0 1
financialltmpc 0 0 0 1 0
financier 0 0 0 3 2
finanziara 0 0 0 1 0
finanziaria 0 0 0 2 0
find 18 11 17 22 6
finder 0 0 0 0 2
fine 2 0 2 12 6
finest 0 0 0 2 0
finger 0 0 1 0 0
finish 6 2 8 3 3
finl 0 0 0 0 1
finland 0 0 11 2 2
finlay 0 0 0 2 0
finnish 2 0 0 0 0
fintech 0 0 0 3 0
fintel 0 0 0 1 0
fire 14 7 0 10 8
firearm 0 0 0 1 0
firecom 0 0 0 0 1
fireman 0 0 0 1 0
fireplac 0 0 0 1 0
fireston 0 0 0 1 0
firm 48 12 54 369 69
firmer 4 1 4 4 2
firmli 3 1 2 1 0
first 74 50 78 257 498
firstcorp 0 0 0 0 3
firstg 0 0 0 0 1
firsthalf 1 0 0 0 1
firstier 0 0 0 0 1
firstquart 0 0 2 0 10
fiscal 17 20 37 23 236
fischer 0 0 0 2 0
fish 2 5 0 1 0
fisher 0 0 0 4 8
fisheri 0 3 0 0 0
fishmeal 0 1 0 0 0
fison 0 0 0 0 1
fit 4 0 3 17 0
fitch 0 0 0 0 1
fitek 0 0 0 1 0
fitzgerald 0 0 0 0 1
fitzwat 9 0 0 0 0
five 61 54 80 143 322
fiveday 1 1 2 0 0
fiveforfour 0 0 0 1 5
fiveforon 0 0 0 0 4
fivefortwo 0 0 0 0 1
fivememb 0 0 0 1 0
fivemonth 0 1 0 0 2
fiveyear 3 4 0 8 5
fix 26 10 53 9 17
fixedr 0 0 2 0 0
fixtur 0 2 0 2 0
fizz 0 0 0 1 0
fj 0 0 0 1 0
fla 0 0 0 18 0
flag 8 2 2 9 1
flaggingout 1 0 0 0 0
flagship 0 0 0 2 1
flammabl 0 0 0 1 0
flank 6 0 0 0 0
flare 1 0 0 0 0
flareup 0 0 2 0 0
flat 2 1 8 1 27
flatli 0 1 3 0 0
flatten 2 0 2 0 0
flavour 0 0 0 0 1
flaw 3 1 0 0 0
flax 0 1 0 0 0
flaxse 0 1 0 0 0
fled 1 0 0 1 0
fledgl 1 0 1 0 1
fleet 4 0 0 50 6
fleetnorstar 0 0 0 1 0
fleme 0 0 0 4 3
fletcher 0 0 0 2 0
flew 2 0 0 0 0
flexibl 2 0 11 5 11
flexiblil 0 0 1 0 0
flexivan 0 0 0 3 5
flexo 0 0 0 1 0
flf 0 0 0 1 0
fli 1 1 1 3 2
flick 0 0 0 0 4
flight 0 1 1 7 8
flink 0 0 0 1 0
flipflop 0 1 0 0 0
float 9 0 22 18 8
floatat 0 0 0 0 1
floatingr 0 0 2 0 0
flonet 0 0 0 2 0
flood 0 19 2 1 0
floor 2 21 7 1 0
flop 0 0 1 0 0
floraki 1 0 0 0 0
florenc 0 0 0 2 0
florestai 0 0 0 1 0
florida 1 1 0 17 8
floridabas 0 0 0 1 0
florjanc 0 0 0 0 3
flotat 0 0 1 3 6
flounder 0 0 0 0 1
flour 0 29 0 2 0
flourbas 0 0 0 2 0
flourish 0 0 1 0 0
flourusda 0 1 0 0 0
flout 0 0 1 0 0
flow 20 5 25 18 44
flower 0 0 0 0 8
flown 0 0 0 0 2
flowthrough 3 0 0 1 0
flp 0 0 0 1 0
fluctat 0 0 1 0 0
fluctuat 9 4 31 0 11
flucuat 0 0 1 0 0
fluid 0 0 0 2 0
fluke 0 1 0 0 0
flumar 1 0 0 0 0
fluorocarbon 0 0 0 0 2
fluoroscan 0 0 0 0 1
flurri 0 1 0 2 0
flush 0 0 0 1 0
fluxtuat 0 0 1 0 0
flyer 0 0 0 2 0
flyfair 0 0 0 3 0
flyr 0 0 0 0 6
fm 0 0 0 2 0
fmc 0 0 0 1 0
fmd 0 0 0 1 0
fmr 0 0 0 2 0
fn 0 0 0 0 2
fnma 0 0 0 1 0
fnsea 0 3 0 0 0
fnv 0 5 0 0 0
fo 4 0 0 0 1
foam 0 0 0 3 1
fob 0 26 1 0 0
focu 0 3 7 12 4
focus 0 1 6 7 7
focuss 0 0 2 2 0
fold 0 0 0 2 1
foley 0 2 0 0 0
folk 0 1 0 0 1
follow 41 49 33 77 37
followedup 1 0 0 0 0
followup 1 0 0 0 0
fomc 0 0 3 0 0
foncier 0 0 2 0 0
fonderen 0 0 0 1 0
fondkommiss 0 0 0 0 1
food 3 49 5 65 62
foodarama 0 0 0 0 1
foodgrain 0 1 0 0 0
foodservic 0 0 0 6 1
foodstuff 0 1 0 0 0
foolish 0 0 0 0 1
foot 1 0 1 15 4
foothil 0 0 0 0 5
foothold 1 0 0 4 0
footwear 0 0 0 7 0
footwork 0 0 0 0 1
for 701 1005 760 2302 1810
fora 0 0 2 0 0
foray 0 0 1 1 0
forb 0 0 0 7 1
forbear 0 0 0 1 0
forbid 2 0 0 0 0
forc 41 12 27 26 24
ford 0 0 0 4 25
fore 0 0 1 0 0
forecast 29 55 109 8 90
foreclos 0 0 0 3 0
foreclosur 0 0 0 2 0
forego 0 6 0 0 0
foregon 0 1 0 0 0
foreign 111 31 298 92 76
foreignedown 0 0 0 1 0
foreignexchang 0 0 2 0 0
foremost 1 0 1 4 1
forerunn 0 1 0 1 1
foresak 0 0 1 0 0
foresaw 0 0 1 3 1
forese 6 0 4 3 10
foreseen 1 0 1 1 0
foreshadow 0 0 1 1 0
foresman 0 0 0 0 5
forest 0 2 0 11 3
forestal 1 1 0 0 0
forestri 0 0 0 1 0
forex 0 0 4 0 0
forfeit 0 2 0 2 0
forfeitur 0 3 0 0 0
forfiet 0 0 0 0 1
forfirstquart 0 0 0 0 1
forg 0 0 2 1 1
forgiv 0 0 1 1 2
forgotten 0 1 1 0 0
forint 0 0 12 0 0
fork 0 0 0 0 1
forklift 0 0 0 1 0
form 9 14 15 101 45
forma 0 0 0 2 4
formal 2 6 9 25 5
format 5 1 2 8 2
former 1 2 15 53 12
formerli 2 0 2 10 10
formica 0 0 1 0 0
formosa 0 3 0 0 0
formul 0 0 0 1 1
formula 3 0 3 1 4
forpurol 0 0 0 1 0
forsakr 0 0 0 2 0
forschung 0 0 0 1 0
forse 0 0 0 1 1
forseeabl 0 0 0 1 2
forstman 0 0 0 1 0
forstmann 0 0 0 3 0
fort 1 0 0 11 2
forth 0 0 0 2 2
forthcom 0 0 0 3 0
fortnightli 0 0 3 0 0
fortun 0 0 5 13 0
forum 2 1 7 3 0
forvaltn 0 0 0 1 0
forward 5 5 17 4 8
fossen 0 0 0 1 0
fossilfir 0 0 0 0 1
foster 3 0 36 0 0
fothergil 0 0 0 1 0
fought 0 1 1 4 1
foulk 2 0 0 0 0
found 12 5 7 23 7
foundat 1 0 5 6 2
founder 0 0 0 6 1
foundri 1 0 0 0 0
fountain 0 0 0 6 0
four 44 42 42 103 247
fourday 1 0 0 0 0
fourforon 0 0 0 0 4
fourforthre 0 0 0 1 4
fourmlntonn 0 1 0 0 0
fourmonth 0 1 0 0 1
fourteen 0 0 0 0 1
fourth 17 9 4 17 175
fourthlargest 0 0 0 0 1
fourthquart 0 0 0 1 2
fourweek 0 5 0 0 0
fouryear 0 0 5 2 2
fox 0 0 0 0 3
foxboro 0 0 0 0 1
foxcroft 0 0 0 4 0
foyergomez 0 0 0 1 0
foyn 0 1 0 0 0
foynesr 0 1 0 0 0
frabric 0 0 0 0 1
fraction 0 2 1 4 4
fragil 0 1 1 0 0
fragment 0 0 2 0 0
fragranc 0 0 0 6 2
frame 0 1 0 1 0
framework 2 1 5 0 1
fran 0 2 0 0 0
franc 9 27 142 66 209
francais 7 0 0 5 4
franchis 1 0 0 16 4
franchise 0 0 0 2 0
franchisor 0 0 0 1 1
francico 0 0 0 1 0
francin 0 0 0 1 0
francisco 0 0 0 6 1
franciso 1 0 0 0 0
francogerman 0 0 0 2 0
francoi 0 1 0 0 0
francois 0 0 1 0 0
francoisxavi 0 0 0 0 1
francsth 0 0 0 0 1
frank 4 0 0 3 4
frankfurt 0 0 6 1 2
franklin 0 0 0 3 19
fransi 0 0 0 0 1
franz 0 0 1 0 0
fraternit 0 1 0 0 0
fraud 0 0 1 1 1
frazier 0 6 0 0 0
freakish 0 0 1 0 0
fred 2 0 2 2 1
freder 0 0 0 0 1
frederick 0 0 0 0 5
frederik 0 0 0 1 0
free 16 30 5 11 16
freed 0 0 2 0 0
freedman 3 0 0 4 0
freedom 4 1 2 3 7
freefal 0 0 6 0 0
freefloat 0 0 1 0 0
freeforal 1 0 0 0 0
freeform 0 0 0 1 0
freeli 0 0 2 0 0
freemanow 0 0 0 1 0
freeport 0 0 0 0 1
freeportmcmoran 0 0 0 1 4
freestand 0 0 0 1 0
freetrad 0 0 0 0 1
freez 3 4 0 5 2
freight 0 26 1 17 5
freighter 0 0 0 0 1
freightkilometr 0 0 0 0 1
fremont 0 0 0 0 1
french 9 72 27 74 13
frenchcontrol 0 0 0 2 0
frenchown 1 0 0 0 0
frenet 0 1 0 0 0
frenzi 0 0 0 2 0
frequenc 0 0 0 2 0
frequent 1 2 2 3 2
frere 0 0 0 1 0
fresh 3 4 6 2 4
freshsqueez 0 0 0 1 0
fretter 0 0 0 0 1
fri 0 0 0 3 1
frick 0 0 0 3 2
friction 0 0 3 5 0
friday 23 8 36 50 11
friedburg 1 0 0 0 0
friedkin 0 0 0 1 0
friedman 0 0 0 0 1
friedrich 0 0 0 1 1
frieght 0 0 0 2 0
friend 1 0 0 1 2
friendli 2 3 0 17 0
frigat 2 0 0 0 0
fright 0 0 2 0 0
frighten 0 0 1 0 0
frigid 0 0 0 3 0
fring 0 1 0 1 1
frion 1 0 0 0 0
frisch 0 0 0 0 1
frist 0 1 0 0 0
fritolay 0 0 0 0 2
fritz 0 2 0 0 2
frivol 0 0 0 1 0
froce 1 0 0 0 0
froday 0 0 0 1 0
from 498 442 454 822 1542
fromn 0 0 0 0 1
front 3 1 4 0 0
frontier 2 0 0 0 0
fropm 0 0 0 1 0
frost 0 9 0 5 3
frown 0 0 0 1 0
frozen 3 1 1 2 3
fructos 0 7 0 0 0
fruehauf 0 0 0 2 5
frugal 1 0 0 0 0
fruit 1 0 2 2 4
fruitloom 0 0 0 1 0
frustrat 0 1 6 0 0
fs 0 0 0 0 1
fsb 0 0 0 6 3
fshg 0 0 0 0 1
